symbol,sector,company_name,owner_label,turnover_cr
OMAXE,Realty,Omaxe Limited,Real Estate,24.82
MARSONS,Capital Goods,Marsons Limited,Capital Goods & Industrial Manufacturing,24.75
SPORTKING,Services,Sportking India Limited,Logistics & Transportation,24.69
KRISHANA,Chemicals,Krishana Phoschem Limited,Chemicals,24.4
KABRAEXTRU,Capital Goods,Kabra Extrusion Technik Limited,Capital Goods & Industrial Manufacturing,24.38
RISHABH,Capital Goods,Rishabh Instruments Limited,Capital Goods & Industrial Manufacturing,24.09
SURYODAY,Finance,Suryoday Small Finance Bank Limited,Banking & Financial Services,24.05
VINDHYATEL,Telecom,Vindhya Telelinks Limited,Telecom & Communication,23.89
TIIL,Capital Goods,Technocraft Industries (India) Limited,Capital Goods & Industrial Manufacturing,23.78
WEL,Energy,Wonder Electricals Limited,"Oil, Gas & Energy",23.76
SSWL,Auto,Steel Strips Wheels Limited,Automobile & Auto Components,22.99
SIRCA,Chemicals,Sirca Paints India Limited,Chemicals,22.91
VRLLOG,Services,VRL Logistics Limited,Logistics & Transportation,21.64
RAYMONDREL,Realty,Raymond Realty Limited,Real Estate,21.46
